Date,Team,Season,points_allowed,target,RegLog,ArbolDecision,RandomForest,XGB,LGB,MLP,NeuralNet
2023-10-01,DAL,2023,3,1,0.9993671918,1.0,0.9809832429,0.9980750084,0.9999975678,0.9997564767,0.9520125389
2023-10-08,DAL,2023,42,0,8.801e-07,0.0,0.0115548248,0.0009690782,3.14636e-05,9.43462e-05,0.0642843395
2023-10-16,DAL,2023,17,1,0.8924884945,1.0,0.9086587942,0.900100708,0.9102915887,0.9624238476,0.947042644
2023-10-29,DAL,2023,20,1,0.9928116597,1.0,0.8783549784,0.99469769,0.9998183306,0.9990426535,0.9518338442
2023-11-05,DAL,2023,28,0,0.1006875424,0.0,0.3665819066,0.2720635533,0.3435599473,0.5117283792,0.1352197081
2023-11-12,DAL,2023,17,1,0.9999941391,1.0,0.8888888889,0.9993232489,0.9999994742,0.9998358576,0.9520130754
2023-11-19,DAL,2023,10,1,0.9982889396,1.0,0.9618195963,0.9993460774,0.9999956603,0.9998112048,0.9187861681
2023-11-23,DAL,2023,10,1,0.9999887795,1.0,0.8785714286,0.9993811846,0.9999996488,0.9999288448,0.9520136118
2023-11-30,DAL,2023,35,1,0.159471023,0.8333333333,0.3508859884,0.2758722305,0.4805052112,0.6018632268,0.2145782709
2023-12-10,DAL,2023,13,1,0.9987252114,1.0,0.9916314578,0.9988747239,0.9999826671,0.9995615934,0.9183077216
2023-12-17,DAL,2023,31,0,0.0001517753,0.0,0.0475328783,0.0021426354,0.0008622225,0.0006964587,0.0642844215
2023-12-24,DAL,2023,22,0,0.6541184896,0.8571428571,0.5457347788,0.6726254225,0.8511538801,0.7876702953,0.8658546805
2023-12-30,DAL,2023,19,1,0.6519513082,1.0,0.4374228387,0.6147312522,0.5816288161,0.8027231087,0.8891085982
2023-01-07,DAL,2023,10,1,0.99991615,1.0,0.9946428571,0.999417305,0.9999999688,0.9998734166,0.9520130754
2023-01-14,DAL,2023,48,0,2.3346e-05,0.0,0.0818208874,0.0464740023,0.0001446428,0.0005768013,0.064360939
2023-09-10,DEN,2023,17,0,0.6501745148,0.4285714286,0.8856896001,0.8921738863,0.912705263,0.7441584373,0.8996078968
2023-09-17,DEN,2023,35,0,0.0581559585,0.0,0.2342691622,0.2886816263,0.2741457301,0.2654746887,0.0662657619
2023-09-24,DEN,2023,70,0,4e-10,0.0,0.0304008064,0.0052677416,1.50576e-05,2.28615e-05,0.0642843395
2023-10-01,DEN,2023,28,1,0.4962344774,0.0,0.7290518931,0.6572836041,0.6987907831,0.6145682698,0.8610319495
2023-10-08,DEN,2023,31,0,0.0049576374,0.0,0.1676826808,0.0411096811,0.017500566,0.0046907002,0.0643280447
2023-10-12,DEN,2023,19,0,0.0029610384,0.0,0.0002932551,0.0053614243,0.0004875654,0.0012543738,0.064285025
2023-10-22,DEN,2023,17,1,0.6444497818,1.0,0.7217051315,0.6667529941,0.7069166643,0.4366202766,0.8453419805
2023-10-29,DEN,2023,9,1,0.9994604294,1.0,0.8674450549,0.9978252649,0.9999797952,0.9995700188,0.9183082581
2023-11-13,DEN,2023,22,1,0.4226233228,0.4285714286,0.6239377289,0.8162562847,0.9567149168,0.5807926673,0.7577070594
2023-11-19,DEN,2023,20,1,0.0628700169,0.0,0.3771464646,0.0546577275,0.013393877,0.0793584698,0.1221634671
2023-11-26,DEN,2023,12,1,0.9996776233,1.0,0.9972733563,0.9978233576,0.9998682891,0.9998236726,0.9183081388
2023-12-03,DEN,2023,22,0,0.1265554439,0.0,0.1002010606,0.118984364,0.057642513,0.3153320586,0.0659708157
2023-12-10,DEN,2023,7,1,0.9996984535,1.0,0.9683925354,0.9994953871,0.9999936354,0.9999075875,0.9183166623
2023-12-16,DEN,2023,42,0,0.0005168193,0.0,0.0554268931,0.0150208706,0.0017629919,0.0005545938,0.0642849579
2023-12-24,DEN,2023,26,0,0.1319303695,0.0,0.1616152355,0.1096179932,0.0340388475,0.0715562136,0.0712317079
2023-12-31,DEN,2023,9,1,0.9915261477,1.0,0.9371953511,0.9905187488,0.9918127309,0.9907632829,0.9182310104
2023-01-07,DEN,2023,27,0,0.0320768409,0.0,0.0172786562,0.0030203364,0.0011608942,0.0032967925,0.0646250919
2023-09-07,DET,2023,20,1,0.842628893,0.875,0.451339239,0.2672124207,0.033715476,0.2215122364,0.8926698565
2023-09-17,DET,2023,37,0,0.0645889552,0.5,0.4234598617,0.154471457,0.1583265502,0.1916886783,0.1335297823
2023-09-24,DET,2023,6,1,0.9994432885,1.0,0.9867709815,0.9985768795,0.9999784577,0.9997632913,0.9505446553
2023-09-28,DET,2023,20,1,0.9977579715,1.0,0.8967518428,0.997572124,0.9999180416,0.9991457207,0.9182944894
2023-10-08,DET,2023,24,1,0.9996503206,1.0,0.7967963336,0.9976039529,0.9999549316,0.9993012575,0.9204148054
2023-10-15,DET,2023,6,1,0.998878244,1.0,0.9668625147,0.997651875,0.9999985344,0.9991526966,0.9520124197
2023-10-22,DET,2023,38,0,8.0608e-06,0.0,0.0073245051,0.0002695046,1.1736e-06,4.95453e-05,0.0642843395
2023-10-30,DET,2023,14,1,0.9943157068,1.0,0.9937258687,0.9958212376,0.9999124095,0.9913558632,0.9182879329
2023-11-12,DET,2023,38,1,0.8301807034,1.0,0.5260423653,0.5253182054,0.5437390535,0.8973526122,0.9433308244
2023-11-19,DET,2023,26,1,0.0777019953,0.0,0.2574645802,0.2004776299,0.5310234985,0.0826325631,0.1111953408
2023-11-23,DET,2023,29,0,0.0967735786,0.4,0.3694665508,0.058266867,0.0035971354,0.0166000284,0.1251222193
2023-12-03,DET,2023,28,1,0.9643278177,0.5,0.9010933216,0.9620266557,0.9794638749,0.9829403945,0.9171310663
2023-12-10,DET,2023,28,0,0.0018326028,0.0,0.0059284375,0.0012261104,8.82725e-05,0.0006425489,0.0642868802
2023-12-16,DET,2023,17,1,0.9998457289,1.0,0.9923972406,0.9987108707,0.9999955094,0.9997874954,0.9520129561
2023-12-24,DET,2023,24,1,0.9807035021,1.0,0.845288659,0.9912541509,0.9998076227,0.9942796881,0.9182040095
2023-12-30,DET,2023,20,0,0.8145372252,1.0,0.5884319623,0.4305214882,0.4759049847,0.8038092024,0.8680976629
2023-01-07,DET,2023,20,1,0.9944001784,1.0,0.9731022499,0.991322875,0.9961449669,0.9984563512,0.9519882202
2023-01-14,DET,2023,23,1,0.9128835372,1.0,0.8515530303,0.9569029212,0.975402851,0.973100316,0.9497100115
2023-01-21,DET,2023,23,1,0.9262268941,1.0,0.795788858,0.9831716418,0.9959601612,0.9966389793,0.9357606769
2023-01-28,DET,2023,34,0,0.1307168325,0.0,0.2296281271,0.1523612589,0.1397137314,0.2659218103,0.0794247538
2023-09-10,GNB,2023,20,1,0.9995501969,1.0,0.9019285714,0.9976087809,0.9996962645,0.9996161342,0.9519415498
2023-09-17,GNB,2023,25,0,0.790572701,0.0,0.7044940722,0.8540366888,0.9547615922,0.9214211878,0.9064441919
2023-09-24,GNB,2023,17,1,0.9247080363,1.0,0.5502789427,0.7059166431,0.8414784872,0.9583000396,0.9137205482
2023-09-28,GNB,2023,34,0,9.28775e-05,0.0,0.0858333333,0.007580806,0.0013227819,0.0015102712,0.0642843768
2023-10-09,GNB,2023,17,0,0.1425860394,0.0,0.2445743658,0.3715904951,0.0417518091,0.1798306925,0.0674238205
2023-10-22,GNB,2023,19,0,0.7995970394,0.0,0.7189511271,0.45192343,0.7163520976,0.5703265004,0.9007524848
2023-10-29,GNB,2023,24,0,0.0030306692,0.0,0.0349315407,0.0086832801,0.0054730329,0.0045343118,0.0643001571
2023-11-05,GNB,2023,3,1,0.9998987404,1.0,0.9994047619,0.9977497458,0.9999943376,0.9997186443,0.9223890305
2023-11-12,GNB,2023,23,0,0.3248292685,0.0,0.3573459949,0.1322009861,0.1360262055,0.1919890124,0.125302121
2023-11-19,GNB,2023,20,1,0.901061509,1.0,0.9470573784,0.8540831208,0.888804815,0.9330068906,0.9487168193
2023-11-23,GNB,2023,22,1,0.9450100807,0.6666666667,0.9785410115,0.8781810999,0.9539699621,0.9008671752,0.9509989023
2023-12-03,GNB,2023,19,1,0.9617125171,1.0,0.9986595174,0.9896036386,0.9979950876,0.9945755537,0.9517714381
2023-12-11,GNB,2023,24,0,0.1431302495,0.0,0.1727496843,0.2103072554,0.3144203142,0.1219977738,0.0868721455
2023-12-17,GNB,2023,34,0,0.0045600869,0.0,0.3345184871,0.0616540015,0.0134887663,0.0047667472,0.0643896088
2023-12-24,GNB,2023,30,1,0.8866858426,0.0,0.4182080611,0.850189507,0.7041794036,0.928348815,0.9114795327
2023-12-31,GNB,2023,10,1,0.9999895054,1.0,0.9951383907,0.9998087287,0.9999999717,0.9999260224,0.9520130754
2023-01-07,GNB,2023,9,1,0.9979396177,1.0,0.8888888889,0.9962624907,0.9997675655,0.9944430536,0.9520113468
2023-01-14,GNB,2023,32,1,0.9996958565,1.0,0.8550092764,0.980130434,0.9906370727,0.9904909848,0.9520128369
2023-01-20,GNB,2023,24,0,0.197212144,0.4285714286,0.4186391222,0.0853551105,0.2755908601,0.0632774008,0.1136235222
2023-09-10,HTX,2023,25,0,0.0006255788,0.0,0.0272587719,0.0029091737,0.0002703587,0.0007300104,0.0642867535
